"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","122.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","100.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","113"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","122.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","115.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","110.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","76.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","74.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","79.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202007","2020 July","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","109.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","45","Motor trades (45)","Base 2015=100","113.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","119.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","4719","Department stores (4719)","Base 2015=100","76.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","4730","Retail sale of automotive fuel (4730)","Base 2015=100","93.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","149.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","149.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","5630","Bars (5630)","Base 2015=100","76.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","V3970","All retail businesses","Base 2015=100","111.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","112"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","112.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1320","All retail businesses, excluding motor trades","Base 2015=100","110.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","113.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","118.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","109.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","112.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","139.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","127.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","102.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","95.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","89.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","109.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202008","2020 August","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","112.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","45","Motor trades (45)","Base 2015=100","112.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","121.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","4719","Department stores (4719)","Base 2015=100","77.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","4730","Retail sale of automotive fuel (4730)","Base 2015=100","99.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","157.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","164.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","5630","Bars (5630)","Base 2015=100","61.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","V3970","All retail businesses","Base 2015=100","113.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","112"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","116.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1320","All retail businesses, excluding motor trades","Base 2015=100","113.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","117.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","121"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","114.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","114.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","156.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","147.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","93.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","106.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","106"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","98.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202009","2020 September","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","117.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","45","Motor trades (45)","Base 2015=100","78.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","132.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","4719","Department stores (4719)","Base 2015=100","77"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","4730","Retail sale of automotive fuel (4730)","Base 2015=100","83.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","153"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","132.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","5630","Bars (5630)","Base 2015=100","27"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","V3970","All retail businesses","Base 2015=100","103"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","81.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","116.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1320","All retail businesses, excluding motor trades","Base 2015=100","111.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","118.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","131.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","107.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","127.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","141.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","141.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","85.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","94"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","95.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","83.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202010","2020 October","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","127.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","45","Motor trades (45)","Base 2015=100","55.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","132.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","4719","Department stores (4719)","Base 2015=100","76.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","4730","Retail sale of automotive fuel (4730)","Base 2015=100","89.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","146.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","107.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","5630","Bars (5630)","Base 2015=100","8.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","V3970","All retail businesses","Base 2015=100","95.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","61.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","115.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1320","All retail businesses, excluding motor trades","Base 2015=100","109.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","117.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","131"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","107.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","117.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","153.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","181.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","48.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","114.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","122.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","79.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202011","2020 November","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","127.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","45","Motor trades (45)","Base 2015=100","46.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","150.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","4719","Department stores (4719)","Base 2015=100","159.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","4730","Retail sale of automotive fuel (4730)","Base 2015=100","92.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","148.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","194.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","5630","Bars (5630)","Base 2015=100","50.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","V3970","All retail businesses","Base 2015=100","128.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","55.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","163.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1320","All retail businesses, excluding motor trades","Base 2015=100","156.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","168.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","152"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","184.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","169.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","182.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","216.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","186"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","213.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","226.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","156.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202012","2020 December","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","186.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","45","Motor trades (45)","Base 2015=100","176.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","114.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","4719","Department stores (4719)","Base 2015=100","37.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","4730","Retail sale of automotive fuel (4730)","Base 2015=100","72.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","98.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","103.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","5630","Bars (5630)","Base 2015=100","7.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","V3970","All retail businesses","Base 2015=100","109.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","161.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","89.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1320","All retail businesses, excluding motor trades","Base 2015=100","83.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","90.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","112.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","71.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","97.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","117.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","120"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","24.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","68.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","33.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202101","2021 January","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","89.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","45","Motor trades (45)","Base 2015=100","181.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","124.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","4719","Department stores (4719)","Base 2015=100","33.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","4730","Retail sale of automotive fuel (4730)","Base 2015=100","84.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","133.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","142.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","5630","Bars (5630)","Base 2015=100","7.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","V3970","All retail businesses","Base 2015=100","117.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","168.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","98.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1320","All retail businesses, excluding motor trades","Base 2015=100","92.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","99.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","121.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","79.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","143.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","116.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","28.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","74"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","77.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","39.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202102","2021 February","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","96.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","45","Motor trades (45)","Base 2015=100","128.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","127.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","4719","Department stores (4719)","Base 2015=100","40.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","4730","Retail sale of automotive fuel (4730)","Base 2015=100","92.7"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","166.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","98.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","5630","Bars (5630)","Base 2015=100","8.4"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","V3970","All retail businesses","Base 2015=100","103"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","123.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","100.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1320","All retail businesses, excluding motor trades","Base 2015=100","94.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","100.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","125.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","80.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","103.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","122.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","105.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","32.3"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","79.5"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","83.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","47.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202103","2021 March","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","102.8"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","45","Motor trades (45)","Base 2015=100","175.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","134.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","4719","Department stores (4719)","Base 2015=100","21.9"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","4730","Retail sale of automotive fuel (4730)","Base 2015=100","101.1"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","174"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","104.2"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","5630","Bars (5630)","Base 2015=100","11.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","V3970","All retail businesses","Base 2015=100","118.6"
"RSM05C01","Retail Sales Index Value Unadjusted","202104","2021 April","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","165.6"
